0;ICFA01;ICFA02
1;ICFA01;ICFA02
2;ICFA01;ICFA02
3;ICFA01;ICFA02
4;ICFA01;ICFA02
5;ICFA01;ICFA02
6;ICFA01
7;ICFA01
8;ICFA01
9;ICFA01
10;ICFA01
11;ICFA01
12;ICFA01
13;ICFA01
14;ICFA01
15;ICFA01
16;ICFA01
17;ICFA02
18;ICFA02
19;ICFA02
20;ICFA02
21;ICFA02
22;ICFA02
23;ICFA02
24;ICFA02
25;ICFA02
26;ICFA02
27;ICFA03
28;ICFA03
29;ICFA03
30;ICFA03
31;ICFA03
32;ICFA03
33;ICFA03
34;ICFA03
35;ICFA03
36;ICFA03
37;ICFA03
38;ICFA03
39;ICHCC01;ICHCC02
40;ICHCC01;ICHCC02
41;ICHCC01;ICHCC02
42;ICHCC01
43;ICHCC01
44;ICHCC01
45;ICHCC01
46;ICHCC01
47;ICHCC01
48;ICHCC01
49;ICHCC01
50;ICHCC01
51;ICHCC06
52;ICHCC02
53;ICHCC02
54;ICHCC02
55;ICHCC06
56;ICHCC02
57;ICHCC02
58;ICHCC02
59;ICHCC06
60;ICHCC02
61;ICHCC02
62;ICHCC03
63;ICHCC03
64;ICHCC03
65;ICHCC03
66;ICHCC03
67;ICHCC03
68;ICHCC03
69;ICHCC03
70;ICHCC03
71;ICHCC03
72;ICHCC03
73;ICHCC04
74;ICHCC04
75;ICHCC04
76;ICHCC04
77;ICHCC04
78;ICHCC04
79;ICHCC04
80;ICHCC04
81;ICHCC04
82;ICHCC04
83;ICHCC04
84;ICHCC05
85;ICHCC05
86;ICHCC05
87;ICHCC05
88;ICHCC05
89;ICHCC05
90;ICHCC05
91;ICHCC05
92;ICHCC05
93;ICHCC05
94;ICHCC05
95;ICHCC06
96;ICHCC06
97;ICHCC06
98;ICHCC06
99;ICHCC06
100;ICHCC06
101;ICFBD01;ICFBD02
102;ICFBD01
103;ICFBD01
104;ICFBD01
105;ICFBD01
106;ICFBD01
107;ICFBD01
108;ICFBD01
109;ICFBD01
110;ICFBD01
111;ICFBD01
112;ICFBD01
